,dataset,object,owner,project,property,stars,users
92,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manoseimas.lt,iki,0.0,19607.285714285714
93,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manoseimas.lt,pavadinimas,0.0,19607.285714285714
94,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manoseimas.lt,rūšis,0.0,19607.285714285714
95,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manoseimas.lt,sukurta,0.0,19607.285714285714
96,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manoseimas.lt,panaikinta,0.0,19607.285714285714
97,gov/lrs/ad,politika/seimas/grupė,gov/lrs,projects/manoseimas.lt,priklauso,0.0,19607.285714285714
98,gov/rc/jar,teise/juridinis_asmuo,gov/rc,gov/vrk,pavadinimas,0.0,
99,gov/rc/jar,teise/juridinis_asmuo,gov/rc,gov/vrk,kodas,0.0,
100,gov/rc/jar,teise/juridinis_asmuo,gov/rc,gov/vrk,veiklos_pobudis,0.0,
101,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,rinkimai,1.0,1000.0
102,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,asmuo,0.0,1000.0
103,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,partija,1.0,1000.0
104,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,sarasas,1.0,1000.0
105,gov/vrk/rinkejopuslapis.lt/kandidatai,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,vardas,2.0,1000.0
106,gov/vrk/rinkejopuslapis.lt/kandidatai,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,pavarde,2.0,1000.0
107,gov/vrk/rinkejopuslapis.lt/kandidatai,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,isrinktas_kartu,2.0,1000.0
108,gov/vrk/rinkejopuslapis.lt/kandidatai,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,isrinktas_pirma_karta,2.0,1000.0
109,gov/vrk/rinkejopuslapis.lt/kandidatai,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,isrinktas_paskutini_karta,2.0,1000.0
110,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,gimimo_data,1.0,1000.0
111,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,uzsienio_kalbos,1.0,1000.0
112,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,mokslo_laipsnis,1.0,1000.0
113,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,issilavinimas,1.0,1000.0
114,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,isrinktas,1.0,1000.0
115,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,pareigos,1.0,1000.0
116,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,turtas,1.0,1000.0
117,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,vertybes,1.0,1000.0
118,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,pinigai,1.0,1000.0
119,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,suteiktos_paskolos,1.0,1000.0
120,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,gautos_paskolos,1.0,1000.0
121,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,pajamos,1.0,1000.0
122,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,mokesciai,1.0,1000.0
123,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas,gov/vrk,rinkimai/tapino_balas,interesai,1.0,1000.0
124,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/kalba,gov/vrk,rinkimai/tapino_balas,pavadinimas,1.0,1000.0
125,gov/vrk/rinkejopuslapis.lt/kandidatai,politika/partija,gov/vrk,rinkimai/tapino_balas,pavadinimas,2.0,1000.0
126,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/issilavinimas,gov/vrk,rinkimai/tapino_balas,issilavinimas,1.0,1000.0
127,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/issilavinimas,gov/vrk,rinkimai/tapino_balas,mokymo_istaiga,1.0,1000.0
128,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/issilavinimas,gov/vrk,rinkimai/tapino_balas,baigimo_metai,1.0,1000.0
129,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/issilavinimas,gov/vrk,rinkimai/tapino_balas,specialybe,1.0,1000.0
130,gov/vrk/vrk.lt/kandiidato_puslapis,teise/juridinis_asmuo,gov/vrk,rinkimai/tapino_balas,pavadinimas,1.0,1000.0
131,gov/rc/jar,teise/juridinis_asmuo,gov/rc,rinkimai/tapino_balas,salis,0.0,1000.0
132,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/pareigos,gov/vrk,rinkimai/tapino_balas,darboviete,1.0,1000.0
133,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/pareigos,gov/vrk,rinkimai/tapino_balas,pareigos,1.0,1000.0
134,,politika/rinkimai/kandidatas/pareigos,,rinkimai/tapino_balas,nuo,0.0,1000.0
135,,politika/rinkimai/kandidatas/pareigos,,rinkimai/tapino_balas,iki,0.0,1000.0
136,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/isrinktas,gov/vrk,rinkimai/tapino_balas,institucija,1.0,1000.0
137,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/isrinktas,gov/vrk,rinkimai/tapino_balas,pareigos,1.0,1000.0
138,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/isrinktas,gov/vrk,rinkimai/tapino_balas,nuo,1.0,1000.0
139,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/isrinktas,gov/vrk,rinkimai/tapino_balas,iki,1.0,1000.0
140,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/interesas,gov/vrk,rinkimai/tapino_balas,asmuo,1.0,1000.0
141,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/interesas,gov/vrk,rinkimai/tapino_balas,salis,1.0,1000.0
142,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/interesas,gov/vrk,rinkimai/tapino_balas,rysys,1.0,1000.0
143,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/interesas,gov/vrk,rinkimai/tapino_balas,nuo,1.0,1000.0
144,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/interesas,gov/vrk,rinkimai/tapino_balas,iki,1.0,1000.0
